date,P,PE,Q
1988-01-01,12.174531936645508,1.3021565322580648,413.82737855999983
1988-01-02,0.07234130799770355,1.318721930550074,284.41393920000024
1988-01-03,0.2166295349597931,1.3352873288420828,150.9738508799999
1988-01-04,0.21652278304100037,1.3518527271340919,118.63323360000014
1988-01-05,0.0,1.368418125426101,95.41628928000007
1988-01-06,1.618234634399414,1.3849835237181098,78.23931839999993
1988-01-07,21.21160888671875,1.401548922010119,74.03427359999999
1988-01-08,0.0,1.418114320302128,100.30943231999987
1988-01-09,0.0,1.4346797185941371,100.30943231999987
1988-01-10,0.0,1.451245116886146,98.19416735999997
1988-01-11,0.046360671520233154,1.467810515178155,92.53647072000014
1988-01-12,0.22321943938732147,1.4843759134701642,92.35807488000013
1988-01-13,3.078589916229248,1.500941311762173,329.1658099199998
1988-01-14,0.0,1.5175067100541821,335.0273875199998
1988-01-15,0.0,1.5340721083461912,182.7283104
1988-01-16,0.005481054540723562,1.5506375066382003,166.16298239999978
1988-01-17,10.878429412841797,1.5672029049302092,1174.76209152
1988-01-18,3.9875872135162354,1.5837683032222183,1158.6809808000007
1988-01-19,29.71172332763672,1.6003337015142274,5590.135586880003
1988-01-20,12.16305160522461,1.6168990998062363,3233.118778559998
1988-01-21,0.0,1.6334644980982453,541.2784636800002
1988-01-22,0.0,1.6500298963902544,295.9841836799997
1988-01-23,0.0,1.6665952946822635,212.03619840000002
1988-01-24,0.03458303585648537,1.6831606929742724,177.6312864000005
1988-01-25,0.031069735065102577,1.6997260912662815,145.34163935999982
1988-01-26,0.0,1.7162914895582904,122.45600160000023
1988-01-27,0.0,1.7328568878502995,103.54604256000002
1988-01-28,0.0,1.7494222861423085,97.86286079999998
1988-01-29,0.0,1.7659876844343176,97.86286079999998
1988-01-30,0.0,1.7825530827263267,97.93931615999998
1988-01-31,1.3888952732086182,1.7991184810183356,98.04125663999996
1988-02-01,5.531726837158203,1.8156838793103447,109.17825408000029
1988-02-02,7.884155750274658,1.8542805058302327,217.0822521600002
1988-02-03,2.80975341796875,1.8928771323501208,281.4321801600001
1988-02-04,12.148714065551758,1.9314737588700086,967.72097664
1988-02-05,0.0,1.9700703853898966,443.9507904
1988-02-06,0.0,2.0086670119097847,211.37358528000016
1988-02-07,0.0,2.0472636384296727,149.92896095999996
1988-02-08,0.0,2.085860264949561,139.37812127999982
1988-02-09,0.0,2.124456891469449,136.44733247999991
1988-02-10,0.0,2.163053517989337,123.44992128000021
1988-02-11,3.188870429992676,2.201650144509225,117.76673952000016
1988-02-12,6.988180160522461,2.2402467710291125,131.83452576
1988-02-13,0.1533949077129364,2.2788433975490006,124.87708800000013
1988-02-14,1.5803921222686768,2.3174400240688886,162.67152096000018
1988-02-15,27.24822998046875,2.3560366505887766,3996.525548159999
1988-02-16,0.0,2.3946332771086647,666.5123433600007
1988-02-17,0.0,2.4332299036285527,351.3888345599996
1988-02-18,1.3425397872924805,2.471826530148441,255.59026848000005
1988-02-19,10.35488510131836,2.510423156668329,1118.15964
1988-02-20,0.04175691306591034,2.549019783188217,674.8969478400004
1988-02-21,0.0,2.5876164097081045,300.4950499199998
1988-02-22,0.0,2.626213036227993,209.13089471999996
1988-02-23,0.2648699879646301,2.6648096627478806,178.2684144000004
1988-02-24,0.05171545594930649,2.7034062892677686,151.27967232000006
1988-02-25,0.0,2.7420029157876566,131.09545728
1988-02-26,0.0,2.7805995423075447,128.24112384
1988-02-27,0.0,2.8191961688274327,122.17566528000015
1988-02-28,0.0,2.857792795347321,115.49856384000022
1988-02-29,0.0,2.896389421867209,105.89067359999996
1988-03-01,0.0,2.934986048387097,94.49882496000009
1988-03-02,0.18540602922439575,2.9802511624176207,92.00128320000007
1988-03-03,12.86397933959961,3.0255162764481445,236.70579456000004
1988-03-04,11.310985565185547,3.0707813904786683,937.87790112
1988-03-05,0.043768979609012604,3.116046504509192,351.5417452800001
1988-03-06,0.4467373490333557,3.161311618539716,210.50709119999993
1988-03-07,0.10846026986837387,3.2065767325702397,177.0196435200003
1988-03-08,2.183103322982788,3.2518418466007635,146.97268703999973
1988-03-09,13.145608901977539,3.297106960631287,870.52072896
1988-03-10,7.182415008544922,3.342372074661811,1356.8787590400011
1988-03-11,0.0,3.3876371886923344,399.42828575999977
1988-03-12,1.538846731185913,3.4329023027228582,269.65805472000005
1988-03-13,4.418294429779053,3.478167416753382,381.18093983999984
1988-03-14,0.0,3.523432530783906,234.46310400000007
1988-03-15,0.0,3.5686976448144296,172.05004511999988
1988-03-16,0.0,3.6139627588449534,142.6657017599997
1988-03-17,0.0036463825963437557,3.6592278728754772,128.54694528000007
1988-03-18,0.8592341542243958,3.704492986906001,125.7945523200001
1988-03-19,2.065542459487915,3.749758100936525,129.26052864000002
1988-03-20,0.0,3.7950232149670486,118.3783824000002
1988-03-21,0.0,3.8402883289975724,109.78989695999987
1988-03-22,0.0,3.8855534430280962,102.8324592
1988-03-23,0.0,3.93081855705862,95.08498272000007
1988-03-24,0.033306047320365906,3.9760836710891434,97.9902864000001
1988-03-25,10.152571678161621,4.021348785119668,131.50321920000002
1988-03-26,0.0,4.066613899150191,235.45702368
1988-03-27,0.0,4.111879013180715,124.67320704000021
1988-03-28,0.0,4.157144127211239,105.91615871999996
1988-03-29,0.9971972107887268,4.202409241241762,93.42844992000013
1988-03-30,17.609966278076172,4.247674355272286,329.4461462399998
1988-03-31,8.503067016601562,4.2929394693028105,535.6207670400001
1988-04-01,11.613950729370117,4.338204583333334,896.6684620800006
1988-04-02,19.332290649414062,4.3706266456093195,2412.5488847999995
